Timestamp,High,Low,Close
2026-01-02 10:00:00-05:00,48407,48395,48395
2026-01-02 10:01:00-05:00,48522,48516,48516
2026-01-02 10:02:00-05:00,48523,48517,48523
2026-01-02 10:03:00-05:00,48523,48516,48516
2026-01-02 10:04:00-05:00,48518,48514,48517
2026-01-02 10:05:00-05:00,48519,48517,48518
2026-01-02 10:06:00-05:00,48520,48516,48518
2026-01-02 10:07:00-05:00,48516,48510,48512
2026-01-02 10:08:00-05:00,48515,48513,48513
2026-01-02 10:09:00-05:00,48512,48509,48509
2026-01-02 10:10:00-05:00,48421,48408,48421
2026-01-02 10:11:00-05:00,48508,48503,48508
2026-01-02 10:12:00-05:00,48514,48509,48514
2026-01-02 10:13:00-05:00,48517,48515,48516
2026-01-02 10:14:00-05:00,48518,48515,48516
2026-01-02 10:15:00-05:00,48515,48509,48512
2026-01-02 10:16:00-05:00,48520,48511,48519
2026-01-02 10:17:00-05:00,48530,48521,48530
2026-01-02 10:18:00-05:00,48529,48522,48527
2026-01-02 10:19:00-05:00,48525,48522,48522
2026-01-02 10:20:00-05:00,48423,48419,48420
2026-01-02 10:21:00-05:00,48524,48522,48523
2026-01-02 10:22:00-05:00,48525,48523,48525
2026-01-02 10:23:00-05:00,48521,48514,48515
2026-01-02 10:24:00-05:00,48515,48506,48506
2026-01-02 10:25:00-05:00,48512,48506,48509
2026-01-02 10:26:00-05:00,48507,48503,48503
2026-01-02 10:27:00-05:00,48504,48499,48503
2026-01-02 10:28:00-05:00,48507,48503,48507
2026-01-02 10:29:00-05:00,48507,48504,48504
2026-01-02 10:30:00-05:00,48424,48420,48420
2026-01-02 10:31:00-05:00,48504,48500,48500
2026-01-02 10:32:00-05:00,48503,48499,48499
2026-01-02 10:33:00-05:00,48503,48499,48503
2026-01-02 10:34:00-05:00,48502,48493,48495
2026-01-02 10:35:00-05:00,48495,48490,48493
2026-01-02 10:36:00-05:00,48493,48489,48490
2026-01-02 10:37:00-05:00,48497,48489,48497
2026-01-02 10:38:00-05:00,48495,48493,48494
2026-01-02 10:39:00-05:00,48496,48492,48493
2026-01-02 10:40:00-05:00,48422,48421,48422
2026-01-02 10:41:00-05:00,48492,48492,48492
2026-01-02 10:42:00-05:00,48499,48495,48499
2026-01-02 10:43:00-05:00,48501,48498,48499
2026-01-02 10:44:00-05:00,48507,48501,48505
2026-01-02 10:45:00-05:00,48506,48503,48503
2026-01-02 10:46:00-05:00,48512,48505,48511
2026-01-02 10:47:00-05:00,48515,48509,48515
2026-01-02 10:48:00-05:00,48520,48516,48518
2026-01-02 10:49:00-05:00,48525,48519,48523
2026-01-02 10:50:00-05:00,48422,48420,48420
2026-01-02 10:51:00-05:00,48525,48515,48517
2026-01-02 10:52:00-05:00,48515,48508,48512
2026-01-02 10:53:00-05:00,48513,48513,48513
2026-01-02 10:54:00-05:00,48515,48513,48515
2026-01-02 10:55:00-05:00,48517,48515,48517
2026-01-02 10:56:00-05:00,48521,48517,48521
2026-01-02 10:57:00-05:00,48522,48518,48520
2026-01-02 10:58:00-05:00,48526,48519,48526
2026-01-02 10:59:00-05:00,48527,48524,48524
2026-01-02 11:00:00-05:00,48392,48389,48390
2026-01-02 11:01:00-05:00,48537,48527,48534
2026-01-02 11:02:00-05:00,48539,48532,48536
2026-01-02 11:03:00-05:00,48542,48536,48542
2026-01-02 11:04:00-05:00,48541,48539,48540
2026-01-02 11:05:00-05:00,48538,48533,48536
2026-01-02 11:06:00-05:00,48540,48533,48539
2026-01-02 11:07:00-05:00,48539,48533,48536
2026-01-02 11:08:00-05:00,48538,48536,48538
2026-01-02 11:09:00-05:00,48542,48537,48542
2026-01-02 11:10:00-05:00,48429,48426,48429
2026-01-02 11:11:00-05:00,48541,48535,48535
2026-01-02 11:12:00-05:00,48536,48532,48533
2026-01-02 11:13:00-05:00,48537,48533,48536
2026-01-02 11:14:00-05:00,48538,48535,48537
2026-01-02 11:15:00-05:00,48536,48533,48535
2026-01-02 11:16:00-05:00,48535,48533,48535
2026-01-02 11:17:00-05:00,48538,48534,48534
2026-01-02 11:18:00-05:00,48535,48532,48533
2026-01-02 11:19:00-05:00,48531,48527,48527
2026-01-02 11:20:00-05:00,48437,48429,48434
2026-01-02 11:21:00-05:00,48522,48519,48521
2026-01-02 11:22:00-05:00,48527,48522,48527
2026-01-02 11:23:00-05:00,48527,48523,48524
2026-01-02 11:24:00-05:00,48525,48523,48525
2026-01-02 11:25:00-05:00,48526,48520,48522
2026-01-02 11:26:00-05:00,48523,48521,48521
2026-01-02 11:27:00-05:00,48524,48520,48524
2026-01-02 11:28:00-05:00,48521,48518,48521
2026-01-02 11:29:00-05:00,48520,48517,48519
2026-01-02 11:30:00-05:00,48437,48434,48436
2026-01-02 11:31:00-05:00,48523,48520,48521
2026-01-02 11:32:00-05:00,48526,48522,48526
2026-01-02 11:33:00-05:00,48529,48524,48528
2026-01-02 11:34:00-05:00,48528,48523,48528
2026-01-02 11:35:00-05:00,48540,48530,48540
2026-01-02 11:36:00-05:00,48544,48538,48538
2026-01-02 11:37:00-05:00,48544,48538,48544
2026-01-02 11:38:00-05:00,48542,48540,48540
2026-01-02 11:39:00-05:00,48544,48541,48544
2026-01-02 11:40:00-05:00,48438,48431,48436
2026-01-02 11:41:00-05:00,48543,48541,48541
2026-01-02 11:42:00-05:00,48546,48540,48544
2026-01-02 11:43:00-05:00,48548,48545,48546
2026-01-02 11:44:00-05:00,48551,48546,48551
2026-01-02 11:45:00-05:00,48550,48544,48545
2026-01-02 11:46:00-05:00,48545,48543,48545
2026-01-02 11:47:00-05:00,48549,48546,48546
2026-01-02 11:48:00-05:00,48551,48545,48551
2026-01-02 11:49:00-05:00,48553,48550,48552
2026-01-02 11:50:00-05:00,48441,48433,48433
2026-01-02 11:51:00-05:00,48555,48551,48551
2026-01-02 11:52:00-05:00,48551,48550,48551
2026-01-02 11:53:00-05:00,48556,48553,48554
2026-01-02 11:54:00-05:00,48556,48551,48554
2026-01-02 11:55:00-05:00,48554,48547,48547
2026-01-02 11:56:00-05:00,48549,48545,48546
2026-01-02 11:57:00-05:00,48547,48543,48546
2026-01-02 11:58:00-05:00,48547,48545,48545
2026-01-02 11:59:00-05:00,48545,48545,48545
2026-01-02 12:00:00-05:00,48401,48393,48398
2026-01-02 12:01:00-05:00,48558,48547,48558
2026-01-02 12:02:00-05:00,48569,48556,48568
2026-01-02 12:03:00-05:00,48568,48555,48555
2026-01-02 12:04:00-05:00,48558,48545,48547
2026-01-02 12:05:00-05:00,48548,48539,48547
2026-01-02 12:06:00-05:00,48548,48546,48547
2026-01-02 12:07:00-05:00,48547,48542,48542
2026-01-02 12:08:00-05:00,48547,48545,48547
2026-01-02 12:09:00-05:00,48547,48539,48542
2026-01-02 12:10:00-05:00,48429,48426,48429
2026-01-02 12:11:00-05:00,48544,48537,48537
2026-01-02 12:12:00-05:00,48537,48532,48533
2026-01-02 12:13:00-05:00,48534,48528,48532
2026-01-02 12:14:00-05:00,48534,48530,48533
2026-01-02 12:15:00-05:00,48539,48535,48539
2026-01-02 12:16:00-05:00,48546,48542,48543
2026-01-02 12:17:00-05:00,48544,48539,48540
2026-01-02 12:18:00-05:00,48543,48540,48540
2026-01-02 12:19:00-05:00,48544,48543,48543
2026-01-02 12:20:00-05:00,48429,48426,48428
2026-01-02 12:21:00-05:00,48535,48530,48533
2026-01-02 12:22:00-05:00,48532,48525,48527
2026-01-02 12:23:00-05:00,48528,48522,48524
2026-01-02 12:24:00-05:00,48527,48522,48525
2026-01-02 12:25:00-05:00,48525,48523,48525
2026-01-02 12:26:00-05:00,48526,48523,48523
2026-01-02 12:27:00-05:00,48525,48524,48524
2026-01-02 12:28:00-05:00,48528,48525,48526
2026-01-02 12:29:00-05:00,48528,48525,48526
2026-01-02 12:30:00-05:00,48424,48420,48423
2026-01-02 12:31:00-05:00,48531,48525,48530
2026-01-02 12:32:00-05:00,48537,48531,48534
2026-01-02 12:33:00-05:00,48534,48531,48533
2026-01-02 12:34:00-05:00,48539,48531,48531
2026-01-02 12:35:00-05:00,48533,48528,48529
2026-01-02 12:36:00-05:00,48527,48520,48526
2026-01-02 12:37:00-05:00,48532,48525,48525
2026-01-02 12:38:00-05:00,48526,48523,48524
2026-01-02 12:39:00-05:00,48523,48521,48523
2026-01-02 12:40:00-05:00,48424,48412,48412
2026-01-02 12:41:00-05:00,48526,48522,48522
2026-01-02 12:42:00-05:00,48527,48524,48527
2026-01-02 12:43:00-05:00,48534,48527,48534
2026-01-02 12:44:00-05:00,48533,48528,48529
2026-01-02 12:45:00-05:00,48528,48527,48528
2026-01-02 12:46:00-05:00,48530,48527,48530
2026-01-02 12:47:00-05:00,48537,48532,48532
2026-01-02 12:48:00-05:00,48533,48531,48532
2026-01-02 12:49:00-05:00,48531,48524,48524
2026-01-02 12:50:00-05:00,48418,48415,48416
2026-01-02 12:51:00-05:00,48524,48520,48524
2026-01-02 12:52:00-05:00,48528,48523,48523
2026-01-02 12:53:00-05:00,48526,48524,48524
2026-01-02 12:54:00-05:00,48526,48521,48521
2026-01-02 12:55:00-05:00,48523,48521,48523
2026-01-02 12:56:00-05:00,48525,48523,48523
2026-01-02 12:57:00-05:00,48524,48518,48519
2026-01-02 12:58:00-05:00,48521,48517,48517
2026-01-02 12:59:00-05:00,48522,48516,48521
2026-01-02 13:00:00-05:00,48397,48394,48394
2026-01-02 13:01:00-05:00,48527,48518,48521
2026-01-02 13:02:00-05:00,48522,48518,48520
2026-01-02 13:03:00-05:00,48521,48518,48521
2026-01-02 13:04:00-05:00,48525,48521,48524
2026-01-02 13:05:00-05:00,48525,48521,48522
2026-01-02 13:06:00-05:00,48522,48516,48516
2026-01-02 13:07:00-05:00,48518,48512,48513
2026-01-02 13:08:00-05:00,48515,48512,48513
2026-01-02 13:09:00-05:00,48513,48506,48507
2026-01-02 13:10:00-05:00,48426,48422,48424
2026-01-02 13:11:00-05:00,48518,48510,48516
2026-01-02 13:12:00-05:00,48517,48513,48513
2026-01-02 13:13:00-05:00,48516,48513,48513
2026-01-02 13:14:00-05:00,48513,48507,48509
2026-01-02 13:15:00-05:00,48511,48502,48503
2026-01-02 13:16:00-05:00,48503,48497,48502
2026-01-02 13:17:00-05:00,48506,48503,48503
2026-01-02 13:18:00-05:00,48511,48505,48510
2026-01-02 13:19:00-05:00,48515,48511,48511
2026-01-02 13:20:00-05:00,48426,48424,48425
2026-01-02 13:21:00-05:00,48515,48510,48512
2026-01-02 13:22:00-05:00,48513,48511,48512
2026-01-02 13:23:00-05:00,48517,48513,48513
2026-01-02 13:24:00-05:00,48515,48505,48505
2026-01-02 13:25:00-05:00,48504,48501,48503
2026-01-02 13:26:00-05:00,48504,48500,48502
2026-01-02 13:27:00-05:00,48504,48501,48501
2026-01-02 13:28:00-05:00,48503,48500,48502
2026-01-02 13:29:00-05:00,48503,48497,48500
2026-01-02 13:30:00-05:00,48423,48423,48423
2026-01-02 13:31:00-05:00,48502,48497,48500
2026-01-02 13:32:00-05:00,48498,48480,48483
2026-01-02 13:33:00-05:00,48486,48476,48478
2026-01-02 13:34:00-05:00,48487,48478,48486
2026-01-02 13:35:00-05:00,48490,48485,48489
2026-01-02 13:36:00-05:00,48485,48478,48479
2026-01-02 13:37:00-05:00,48486,48477,48482
2026-01-02 13:38:00-05:00,48490,48478,48489
2026-01-02 13:39:00-05:00,48486,48477,48477
2026-01-02 13:40:00-05:00,48426,48423,48425
2026-01-02 13:41:00-05:00,48481,48475,48475
2026-01-02 13:42:00-05:00,48477,48471,48473
2026-01-02 13:43:00-05:00,48478,48475,48477
2026-01-02 13:44:00-05:00,48486,48479,48485
2026-01-02 13:45:00-05:00,48489,48483,48489
2026-01-02 13:46:00-05:00,48494,48489,48494
2026-01-02 13:47:00-05:00,48500,48494,48498
2026-01-02 13:48:00-05:00,48495,48490,48493
2026-01-02 13:49:00-05:00,48491,48476,48476
2026-01-02 13:50:00-05:00,48426,48420,48420
2026-01-02 13:51:00-05:00,48473,48466,48466
2026-01-02 13:52:00-05:00,48470,48464,48468
2026-01-02 13:53:00-05:00,48467,48465,48466
2026-01-02 13:54:00-05:00,48472,48468,48470
2026-01-02 13:55:00-05:00,48473,48468,48472
2026-01-02 13:56:00-05:00,48473,48466,48471
2026-01-02 13:57:00-05:00,48475,48472,48473
2026-01-02 13:58:00-05:00,48476,48471,48473
2026-01-02 13:59:00-05:00,48483,48472,48481
2026-01-02 14:00:00-05:00,48390,48389,48390
2026-01-02 14:01:00-05:00,48496,48488,48491
2026-01-02 14:02:00-05:00,48492,48488,48491
2026-01-02 14:03:00-05:00,48505,48490,48503
2026-01-02 14:04:00-05:00,48508,48501,48503
2026-01-02 14:05:00-05:00,48502,48495,48500
2026-01-02 14:06:00-05:00,48505,48499,48505
2026-01-02 14:07:00-05:00,48507,48498,48499
2026-01-02 14:08:00-05:00,48497,48492,48492
2026-01-02 14:09:00-05:00,48491,48485,48488
2026-01-02 14:10:00-05:00,48431,48424,48431
2026-01-02 14:11:00-05:00,48493,48490,48490
2026-01-02 14:12:00-05:00,48489,48483,48485
2026-01-02 14:13:00-05:00,48493,48484,48493
2026-01-02 14:14:00-05:00,48498,48492,48497
2026-01-02 14:15:00-05:00,48501,48497,48499
2026-01-02 14:16:00-05:00,48499,48491,48494
2026-01-02 14:17:00-05:00,48496,48483,48489
2026-01-02 14:18:00-05:00,48493,48489,48489
2026-01-02 14:19:00-05:00,48493,48488,48491
2026-01-02 14:20:00-05:00,48432,48429,48432
2026-01-02 14:21:00-05:00,48482,48467,48472
2026-01-02 14:22:00-05:00,48476,48470,48475
2026-01-02 14:23:00-05:00,48477,48467,48467
2026-01-02 14:24:00-05:00,48471,48465,48466
2026-01-02 14:25:00-05:00,48490,48467,48485
2026-01-02 14:26:00-05:00,48485,48476,48479
2026-01-02 14:27:00-05:00,48490,48478,48490
2026-01-02 14:28:00-05:00,48501,48491,48501
2026-01-02 14:29:00-05:00,48500,48461,48471
2026-01-02 14:30:00-05:00,48434,48431,48431
2026-01-02 14:31:00-05:00,48461,48390,48437
2026-01-02 14:32:00-05:00,48437,48341,48341
2026-01-02 14:33:00-05:00,48374,48333,48338
2026-01-02 14:34:00-05:00,48339,48266,48268
2026-01-02 14:35:00-05:00,48272,48233,48254
2026-01-02 14:36:00-05:00,48255,48190,48200
2026-01-02 14:37:00-05:00,48266,48199,48261
2026-01-02 14:38:00-05:00,48268,48235,48247
2026-01-02 14:39:00-05:00,48251,48210,48215
2026-01-02 14:40:00-05:00,48430,48429,48430
2026-01-02 14:41:00-05:00,48221,48156,48162
2026-01-02 14:42:00-05:00,48168,48146,48159
2026-01-02 14:43:00-05:00,48165,48118,48136
2026-01-02 14:44:00-05:00,48170,48135,48153
2026-01-02 14:45:00-05:00,48158,48127,48155
2026-01-02 14:46:00-05:00,48194,48140,48142
2026-01-02 14:47:00-05:00,48151,48092,48098
2026-01-02 14:48:00-05:00,48170,48098,48163
2026-01-02 14:49:00-05:00,48203,48161,48184
2026-01-02 14:50:00-05:00,48430,48430,48430
2026-01-02 14:51:00-05:00,48256,48172,48240
2026-01-02 14:52:00-05:00,48246,48224,48236
2026-01-02 14:53:00-05:00,48255,48230,48233
2026-01-02 14:54:00-05:00,48245,48223,48245
2026-01-02 14:55:00-05:00,48273,48245,48270
2026-01-02 14:56:00-05:00,48285,48260,48284
2026-01-02 14:57:00-05:00,48319,48281,48314
2026-01-02 14:58:00-05:00,48326,48303,48308
2026-01-02 14:59:00-05:00,48321,48301,48316
2026-01-02 15:00:00-05:00,48392,48390,48392
2026-01-02 15:01:00-05:00,48369,48337,48348
2026-01-02 15:02:00-05:00,48368,48345,48349
2026-01-02 15:03:00-05:00,48361,48330,48354
2026-01-02 15:04:00-05:00,48368,48346,48359
2026-01-02 15:05:00-05:00,48380,48355,48375
2026-01-02 15:06:00-05:00,48383,48354,48373
2026-01-02 15:07:00-05:00,48406,48372,48399
2026-01-02 15:08:00-05:00,48406,48363,48363
2026-01-02 15:09:00-05:00,48381,48357,48381
2026-01-02 15:10:00-05:00,48430,48426,48430
2026-01-02 15:11:00-05:00,48391,48362,48364
2026-01-02 15:12:00-05:00,48371,48332,48335
2026-01-02 15:13:00-05:00,48348,48322,48326
2026-01-02 15:14:00-05:00,48327,48299,48310
2026-01-02 15:15:00-05:00,48313,48290,48300
2026-01-02 15:16:00-05:00,48298,48275,48277
2026-01-02 15:17:00-05:00,48308,48272,48302
2026-01-02 15:18:00-05:00,48317,48260,48264
2026-01-02 15:19:00-05:00,48286,48258,48279
2026-01-02 15:20:00-05:00,48429,48426,48428
2026-01-02 15:21:00-05:00,48286,48240,48246
2026-01-02 15:22:00-05:00,48247,48216,48217
2026-01-02 15:23:00-05:00,48221,48173,48177
2026-01-02 15:24:00-05:00,48199,48157,48157
2026-01-02 15:25:00-05:00,48176,48149,48165
2026-01-02 15:26:00-05:00,48168,48140,48165
2026-01-02 15:27:00-05:00,48186,48161,48179
2026-01-02 15:28:00-05:00,48189,48157,48162
2026-01-02 15:29:00-05:00,48199,48155,48186
2026-01-02 15:30:00-05:00,48231,48184,48218
2026-01-02 15:31:00-05:00,48240,48198,48239
2026-01-02 15:32:00-05:00,48245,48219,48243
2026-01-02 15:33:00-05:00,48285,48236,48274
2026-01-02 15:34:00-05:00,48306,48270,48304
2026-01-02 15:35:00-05:00,48325,48300,48325
2026-01-02 15:36:00-05:00,48336,48321,48329
2026-01-02 15:37:00-05:00,48345,48323,48336
2026-01-02 15:38:00-05:00,48340,48316,48324
2026-01-02 15:39:00-05:00,48323,48271,48276
2026-01-02 15:40:00-05:00,48426,48424,48425
2026-01-02 15:41:00-05:00,48337,48310,48314
2026-01-02 15:42:00-05:00,48331,48313,48325
2026-01-02 15:43:00-05:00,48372,48326,48368
2026-01-02 15:44:00-05:00,48377,48337,48338
2026-01-02 15:45:00-05:00,48353,48324,48335
2026-01-02 15:46:00-05:00,48351,48332,48345
2026-01-02 15:47:00-05:00,48378,48346,48355
2026-01-02 15:48:00-05:00,48396,48347,48391
2026-01-02 15:49:00-05:00,48401,48357,48357
2026-01-02 15:50:00-05:00,48428,48425,48428
2026-01-02 15:51:00-05:00,48370,48338,48347
2026-01-02 15:52:00-05:00,48358,48314,48320
2026-01-02 15:53:00-05:00,48333,48292,48320
2026-01-02 15:54:00-05:00,48368,48315,48367
2026-01-02 15:55:00-05:00,48393,48350,48392
2026-01-02 15:56:00-05:00,48427,48394,48400
2026-01-02 15:57:00-05:00,48414,48377,48382
2026-01-02 15:58:00-05:00,48379,48334,48341
2026-01-02 15:59:00-05:00,48370,48338,48362
2026-01-02 16:00:00-05:00,48395,48390,48390
2026-01-02 16:01:00-05:00,48375,48346,48358
2026-01-02 16:02:00-05:00,48359,48328,48353
2026-01-02 16:03:00-05:00,48379,48343,48358
2026-01-02 16:04:00-05:00,48371,48345,48370
